ID,Gender,Age,Resident,Nature_Relatedness_experience1,Nature_Relatedness_self1,Nature_Relatedness_self2,Nature_Relatedness_experience2,Nature_Relatedness_self3,Nature_Relatedness_self4,PEBS_Conservation1,PEBS_Conservation2,PEBS_Conservation3,PEBS_Conservation4,PEBS_Conservation5,PEBS_Conservation6,PEBS_Conservation7,PEBS_Environmental_citizenship1,PEBS_Environmental_citizenship2,PEBS_Environmental_citizenship3,PEBS_Environmental_citizenship4,PEBS_Environmental_citizenship5,PEBS_Environmental_citizenship6,PEBS_Food1,PEBS_Food2,PEBS_Food3,PEBS_Tmnsporation1,PEBS_Tmnsporation2,PEBS_Tmnsporation3,HEAS_Affective_symptoms1,HEAS_Affective_symptoms2,HEAS_Affective_symptoms3,HEAS_Affective_symptoms4,HEAS_Rumination1,HEAS_Rumination2,HEAS_Rumination3,HEAS_Behavioural_symptoms1,HEAS_Behavioural_symptoms2,HEAS_Behavioural_symptoms3,HEAS_Anxiety_about_personal_impact1,HEAS_Anxiety_about_personal_impact2,HEAS_Anxiety_about_personal_impact3,Mental_Health_Continuum_EWB1,Mental_Health_Continuum_EWB2,Mental_Health_Continuum_EWB3,Mental_Health_Continuum_SWB1,Mental_Health_Continuum_SWB2,Mental_Health_Continuum_SWB3,Mental_Health_Continuum_SWB4,Mental_Health_Continuum_SWB5,Mental_Health_Continuum_PWB1,Mental_Health_Continuum_PWB2,Mental_Health_Continuum_PWB3,Mental_Health_Continuum_PWB4,Mental_Health_Continuum_PWB5,Mental_Health_Continuum_PWB6
2390,2,19,1,4,4,5,4,4,4,5,4,4,5,3,3,5,1,1,3,3,5,3,5,1,5,5,5,3,2,2,2,2,2,2,1,3,2,2,2,2,2,3,1,3,3,3,2,2,1,4,3,3,1,2,3
485,2,19,1,3,4,4,3,3,3,5,4,3,4,3,3,5,1,1,2,2,1,5,5,5,5,1,5,3,2,1,1,1,2,1,1,1,2,2,2,3,2,5,4,2,1,1,0,3,1,2,3,3,1,3,3
1734,2,21,2,1,4,5,4,4,4,5,2,5,5,2,2,5,1,5,4,3,5,1,5,1,5,5,5,5,2,1,1,2,2,2,1,1,1,1,1,1,1,4,4,2,3,5,2,4,4,5,4,5,5,4,3
1679,2,20,1,2,4,5,5,3,2,5,5,2,5,2,4,5,1,1,3,2,1,2,5,5,5,5,5,5,2,1,1,1,1,1,1,3,2,1,1,1,1,3,3,2,1,1,1,2,0,3,0,5,3,3,2
1178,2,21,1,1,3,3,3,4,4,4,4,5,5,4,4,5,1,1,3,3,5,2,5,1,5,3,3,5,2,1,1,1,1,1,1,1,1,2,1,1,1,3,4,3,1,1,4,3,3,5,3,1,1,1,1
1961,2,21,1,2,3,3,4,4,5,4,4,4,5,4,5,5,1,1,3,3,5,3,1,5,5,5,5,5,3,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,2,1,2,4,4,3,3,3,4,3,3
2123,2,20,1,1,4,4,3,4,4,4,3,4,4,3,4,5,1,1,2,3,5,1,1,5,5,3,3,5,3,3,2,3,2,2,2,3,2,2,2,2,2,3,3,3,1,4,5,3,3,3,4,3,3,3,3
2814,2,25,1,4,4,4,4,4,2,5,2,3,5,4,4,5,1,1,2,1,1,3,5,5,5,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,0,0,1,5,4,4,3,0,1,1,1
486,2,19,1,2,5,5,4,5,5,5,5,4,5,4,4,3,1,5,3,3,5,3,5,5,5,3,3,5,3,2,2,2,2,2,2,2,2,2,2,1,2,3,3,3,1,2,4,4,4,3,3,4,4,3,5
1361,2,20,1,2,3,5,5,5,5,5,4,3,5,4,4,5,1,1,3,2,5,3,1,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2411,1,22,1,4,4,4,5,4,5,5,5,3,5,4,2,5,1,1,3,3,5,2,5,5,5,3,3,5,1,1,1,1,1,1,1,1,1,2,1,1,1,5,5,5,3,4,4,4,4,5,4,5,5,5,5
2518,1,21,1,2,4,4,4,3,4,5,2,5,5,2,4,5,1,1,3,3,5,2,5,5,5,1,5,3,2,2,2,3,3,3,3,2,3,3,2,2,2,3,3,3,1,1,3,3,1,1,1,3,2,2,3
2998,2,20,2,4,4,5,5,5,5,5,4,3,5,3,4,5,1,1,4,2,5,2,5,5,5,5,5,3,2,2,1,3,3,2,3,1,4,3,2,2,3,3,2,2,1,3,2,2,2,4,4,4,4,4,2
